t_ms;ax;ay;az;gx;gy;gz;mx;my;mz
3655126;0.011108;-0.020386;1.005127;-1.098633;-0.244141;2.136230;20.007324;42.309570;-50.170898
3655200;0.010376;-0.020264;1.005249;-1.220703;-0.244141;2.075195;19.885254;41.809082;-50.964355
3655300;0.011963;-0.020508;1.005981;-1.281738;-0.305176;2.014160;19.787598;41.918945;-50.207520
3655400;0.011597;-0.019287;1.005615;-0.854492;-0.244141;2.075195;20.288086;42.358398;-50.634766
3655500;0.011230;-0.019165;1.005615;-0.976562;-0.427246;2.136230;20.300293;41.748047;-50.231934
3655600;0.010620;-0.020142;1.005615;-0.976562;-0.122070;2.075195;20.507812;41.711426;-50.927734
3655700;0.010986;-0.019897;1.006348;-1.037598;-0.305176;2.136230;20.043945;41.198730;-50.952148
3655800;0.010620;-0.020264;1.004517;-1.098633;-0.183105;2.136230;20.373535;42.053223;-50.842285
3655900;0.011230;-0.020752;1.005249;-0.915527;-0.122070;2.075195;20.349121;41.979980;-50.488281
3656000;0.011230;-0.020508;1.005615;-1.220703;-0.061035;2.136230;19.873047;41.979980;-50.439453
3656125;0.011230;-0.019165;1.005615;-1.098633;-0.122070;2.014160;20.324707;41.882324;-50.573730
3656200;0.011841;-0.021362;1.005249;-1.098633;-0.427246;2.075195;20.703125;41.784668;-50.805664
3656300;0.011475;-0.019897;1.005249;-1.098633;-0.305176;2.075195;20.300293;41.430664;-51.208496
3656400;0.011108;-0.019897;1.005615;-1.159668;-0.366211;2.014160;20.043945;41.784668;-50.231934
3656500;0.011230;-0.020264;1.005493;-1.281738;-0.366211;2.136230;19.958496;41.833496;-50.964355
3656600;0.010864;-0.020508;1.005005;-1.037598;-0.427246;2.014160;20.019531;42.041016;-51.721191
3656700;0.011475;-0.020264;1.005371;-1.220703;-0.244141;1.953125;20.520020;41.821289;-50.708008
3656800;0.011963;-0.020020;1.005371;-1.159668;-0.183105;2.197266;20.458984;42.187500;-50.878906
3656900;0.011475;-0.019775;1.005371;-0.976562;-0.183105;2.136230;20.349121;42.004395;-50.573730
3657000;0.011841;-0.020508;1.005005;-1.159668;-0.366211;2.136230;20.129395;42.041016;-50.524902
3657125;0.011719;-0.020264;1.005005;-1.220703;-0.305176;2.014160;20.080566;42.297363;-50.854492
3657200;0.011597;-0.020630;1.005371;-1.037598;-0.122070;2.197266;20.190430;42.126465;-51.037598
3657300;0.011353;-0.019531;1.005737;-1.037598;-0.549316;2.014160;20.056152;42.114258;-51.037598
3657400;0.012451;-0.019897;1.005249;-1.098633;-0.183105;2.380371;20.129395;42.016602;-50.866699
3657500;0.012207;-0.020264;1.005737;-1.342773;-0.183105;2.075195;20.275879;42.126465;-50.915527
3657600;0.010864;-0.019531;1.005493;-1.098633;-0.366211;2.136230;20.568848;42.272949;-50.207520
3657700;0.011108;-0.020386;1.006226;-1.281738;-0.122070;2.075195;20.153809;42.395020;-51.599121
3657800;0.011353;-0.020752;1.005371;-1.403809;-0.183105;2.075195;20.373535;42.138672;-50.683594
3657900;0.011353;-0.018921;1.005981;-1.037598;-0.366211;2.136230;20.007324;42.309570;-51.599121
3658000;0.010742;-0.019653;1.005127;-1.159668;-0.061035;1.892090;20.812988;42.724609;-51.367187
3658125;0.011108;-0.019531;1.005249;-1.220703;-0.366211;2.014160;20.666504;41.796875;-51.831055
3658200;0.011353;-0.020996;1.005249;-0.976562;-0.183105;2.075195;21.020508;41.552734;-51.245117
3658300;0.011719;-0.020508;1.005615;-1.037598;-0.061035;2.136230;20.507812;42.016602;-49.792480
3658400;0.010620;-0.020020;1.005371;-1.220703;-0.366211;2.014160;20.458984;41.784668;-51.074219
3658500;0.010986;-0.019775;1.004883;-1.220703;-0.122070;2.075195;20.800781;42.053223;-50.036621
