t_ms;ax;ay;az;gx;gy;gz;mx;my;mz
966126;0.016968;-0.028931;1.006470;-1.037598;-0.183105;1.892090;24.768066;36.230469;-51.477051
966200;0.016968;-0.028442;1.007935;-0.915527;-0.488281;1.892090;24.645996;36.206055;-51.220703
966300;0.017578;-0.029175;1.007446;-1.159668;-0.549316;1.953125;24.719238;36.303711;-51.501465
966400;0.016846;-0.028076;1.008667;-0.976562;-0.305176;1.892090;24.316406;36.352539;-51.147461
966500;0.017822;-0.029053;1.007202;-0.976562;-0.427246;1.892090;24.523926;36.218262;-50.634766
966600;0.017334;-0.029907;1.007935;-0.976562;-0.244141;2.014160;24.487305;36.633301;-50.769043
966700;0.016113;-0.030151;1.005981;-1.098633;-0.488281;2.014160;24.438477;36.169434;-50.769043
966800;0.016602;-0.029663;1.007202;-0.915527;-0.427246;2.075195;24.060059;36.389160;-51.306152
966900;0.017456;-0.029175;1.006470;-1.037598;-0.488281;2.136230;24.572754;36.108398;-50.866699
967000;0.016113;-0.029297;1.008667;-0.915527;-0.488281;1.953125;23.889160;36.425781;-50.427246
967126;0.017334;-0.030029;1.006836;-1.037598;-0.549316;1.831055;24.182129;36.315918;-51.123047
967200;0.016968;-0.029541;1.007202;-1.037598;-0.427246;2.014160;24.829102;35.827637;-51.599121
967300;0.016113;-0.028564;1.007324;-1.037598;-0.366211;2.075195;24.938965;35.961914;-51.281738
967400;0.016235;-0.029541;1.006958;-0.915527;-0.244141;1.831055;25.073242;36.059570;-50.463867
967500;0.017212;-0.030029;1.006836;-0.976562;-0.488281;2.014160;25.085449;35.986328;-50.695801
967600;0.016846;-0.029541;1.007202;-1.098633;-0.427246;1.953125;24.560547;35.705566;-50.720215
967700;0.017090;-0.029419;1.006958;-0.976562;-0.366211;2.014160;24.096680;35.815430;-51.684570
967800;0.016602;-0.029053;1.007446;-0.854492;-0.366211;1.892090;24.890137;35.571289;-50.939941
967900;0.017212;-0.028687;1.008423;-1.159668;-0.366211;2.136230;24.328613;35.705566;-50.463867
968000;0.017578;-0.028809;1.008423;-0.976562;-0.244141;1.831055;24.584961;36.083984;-51.074219
